0;0;0;0;land;false;unknown;0
1;140;179;220;land;false;forest;1
2;213;134;209;land;false;hills;1
3;254;233;119;land;false;plains;1
4;241;57;253;land;false;plains;1
5;208;239;62;land;false;jungle;1
6;208;114;220;land;false;hills;1
7;215;127;192;land;false;plains;1
8;190;220;111;land;false;mountain;1
9;93;201;219;land;false;plains;1
10;238;238;226;land;false;forest;1
11;248;118;222;land;false;hills;1
12;170;242;184;land;false;plains;1
13;219;197;145;land;false;plains;1
14;67;254;211;land;false;jungle;1
15;199;207;235;land;true;hills;1
16;156;125;250;land;false;forest;1
17;172;220;200;land;false;forest;1
18;113;159;239;land;false;forest;1
19;209;191;193;land;false;plains;1
20;235;213;225;land;false;plains;1
21;220;97;219;land;false;plains;1
22;204;234;96;land;false;plains;1
23;224;126;231;land;false;hills;1
24;149;154;215;land;false;jungle;1
25;250;251;225;land;false;hills;1
26;155;249;188;land;false;hills;1
27;168;186;176;land;false;hills;1
28;151;217;238;land;false;hills;1
29;224;181;112;land;false;plains;1
30;236;213;225;land;false;plains;1
31;65;252;193;land;false;forest;1
32;220;252;152;land;false;forest;1
33;81;247;173;land;false;plains;1
34;164;191;146;land;false;plains;1
35;245;79;195;land;false;hills;1
36;132;172;227;land;false;forest;1
37;211;221;143;land;false;hills;1
38;201;243;61;land;false;jungle;1
39;93;198;210;land;false;mountain;1
40;185;239;171;land;false;hills;1
41;172;214;124;land;false;hills;1
42;159;216;234;land;false;hills;1
43;220;248;218;land;false;plains;1
44;93;219;193;land;false;plains;1
45;218;189;124;land;false;hills;1
46;241;114;246;land;false;hills;1
47;251;110;183;land;false;plains;1
48;247;47;221;land;false;plains;1
49;184;174;186;land;false;forest;1
50;20;238;247;land;true;hills;1
51;147;221;228;land;false;plains;1
52;189;155;197;land;true;plains;1
53;196;235;96;land;false;plains;1
54;148;166;250;land;false;plains;1
55;254;145;176;land;false;mountain;1
56;231;192;146;land;false;plains;1
57;205;67;241;land;false;plains;1
58;191;180;226;land;false;plains;1
59;147;181;225;land;false;hills;1
60;158;231;116;land;false;plains;1
61;185;143;173;land;false;hills;1
62;242;205;211;land;false;jungle;1
63;228;66;238;land;false;desert;1
64;206;232;224;land;false;forest;1
65;180;190;175;land;false;plains;1
66;220;175;127;land;false;plains;1
67;194;246;157;land;false;desert;1
68;252;217;60;land;false;jungle;1
69;239;77;198;land;false;hills;1
70;240;205;57;land;false;hills;1
71;134;183;195;land;false;hills;1
72;193;210;158;land;false;plains;1
73;209;252;252;land;false;hills;1
74;219;191;247;land;false;hills;1
75;137;144;222;land;false;hills;1
76;228;119;247;land;true;marsh;1
77;241;222;143;land;false;hills;1
78;160;199;188;land;false;plains;1
79;231;120;219;land;false;mountain;1
80;217;72;248;land;true;hills;1
81;250;124;225;land;false;jungle;1
82;213;146;202;land;false;hills;1
83;119;235;227;land;false;hills;1
84;132;248;170;land;false;plains;1
85;179;160;177;land;false;jungle;1
86;197;172;234;land;false;hills;1
87;216;185;232;land;false;hills;1
88;241;106;182;land;false;forest;1
89;210;117;192;land;false;mountain;1
90;223;134;222;land;false;hills;1
91;95;245;206;land;false;plains;1
92;135;122;252;land;false;plains;1
93;121;229;201;land;false;hills;1
94;244;184;150;land;false;plains;1
95;250;250;213;land;false;plains;1
96;225;79;253;land;false;plains;1
97;246;216;46;land;false;hills;1
98;242;147;185;land;false;plains;1
99;234;239;168;land;false;plains;1
100;200;136;173;land;false;plains;1
101;215;205;253;land;false;desert;1
102;254;127;178;land;false;mountain;1
103;243;217;207;land;false;forest;1
104;155;190;229;land;false;hills;1
105;85;245;242;land;false;plains;1
106;113;198;234;land;false;plains;1
107;214;167;126;land;false;mountain;1
108;144;180;201;land;false;plains;1
109;114;231;205;land;false;forest;1
110;243;191;133;land;false;plains;1
111;200;186;154;land;false;hills;1
112;248;104;213;land;false;plains;1
113;185;89;228;land;false;plains;1
114;241;72;205;land;false;hills;1
115;245;188;174;land;false;hills;1
116;101;247;186;land;false;hills;1
117;245;218;99;land;false;plains;1
118;206;214;165;land;false;plains;1
119;228;245;81;land;false;plains;1
120;206;135;230;land;false;hills;1
121;150;113;248;land;false;mountain;1
122;156;223;175;land;false;hills;1
123;171;236;115;land;false;forest;1
124;239;146;182;land;false;hills;1
125;109;229;233;land;false;plains;1
126;131;240;220;land;false;jungle;1
127;232;200;144;land;false;forest;1
128;179;212;192;land;false;hills;1
129;244;190;91;land;false;plains;1
130;250;70;197;land;false;hills;1
131;199;249;210;land;false;mountain;1
132;227;53;247;land;false;plains;1
133;167;171;247;land;false;plains;1
134;203;248;199;land;false;forest;1
135;229;187;133;land;false;plains;1
136;199;164;192;land;false;plains;1
137;164;197;196;land;false;hills;1
138;252;193;132;land;false;plains;1
139;189;164;168;land;false;mountain;1
140;127;139;241;land;false;plains;1
141;223;143;145;land;false;hills;1
